personal_labeling,filter_labeling,HSV
winter_dark_green3,dark_green,"[75,210,60]"
winter_dark_blue1,dark_blue,"[90,210,60]"
winter_dark_blue2,dark_blue,"[105,210,60]"
winter_dark_blue3,dark_blue,"[120,210,60]"
winter_dark_purple,dark_purple,"[135,210,60]"
winter_dark_pink1,dark_pink,"[150,210,60]"
winter_dark_pink2,dark_pink,"[165,210,60]"
black,basic_black,"[0,0,0]"
gray,basic_gray,"[0,0,150]"
white,basic_white,"[0,0,255]"
